State,Year,Quarter,District,Registered_users,App_opens,Region
tamil-nadu,2021,1,Chennai ,1865001,44025572,Southern Region
tamil-nadu,2021,1,The Nilgiris ,132909,2667830,Southern Region
tamil-nadu,2021,1,Erode ,449675,7891302,Southern Region
tamil-nadu,2021,1,Karur ,168402,2748286,Southern Region
tamil-nadu,2021,1,Kallakkurichi ,231208,4214895,Southern Region
tamil-nadu,2021,1,Viluppuram ,287910,5813660,Southern Region
tamil-nadu,2021,1,Pudukkottai ,178074,2798190,Southern Region
tamil-nadu,2021,1,Perambalur ,85113,1379818,Southern Region
tamil-nadu,2021,1,Coimbatore ,1304141,28188456,Southern Region
tamil-nadu,2021,1,Virudhunagar ,262406,4141001,Southern Region
tamil-nadu,2021,1,Dindigul ,334350,6175195,Southern Region
tamil-nadu,2021,1,Sivaganga ,181917,3022065,Southern Region
tamil-nadu,2021,1,Tenkasi ,155104,2189726,Southern Region
tamil-nadu,2021,1,Chengalpattu ,1259678,32721455,Southern Region
tamil-nadu,2021,1,Kanniyakumari ,284941,4119075,Southern Region
tamil-nadu,2021,1,Tirunelveli ,258947,3981829,Southern Region
tamil-nadu,2021,1,Thiruvallur ,1522407,36786664,Southern Region
tamil-nadu,2021,1,Theni ,187104,3191924,Southern Region
tamil-nadu,2021,1,Ranipet ,248923,5222726,Southern Region
tamil-nadu,2021,1,Namakkal ,304004,5067526,Southern Region
tamil-nadu,2021,1,Vellore ,346428,7829717,Southern Region
tamil-nadu,2021,1,Thiruvarur ,129468,1944801,Southern Region
tamil-nadu,2021,2,Tiruchirappalli ,565156,10014470,Southern Region
tamil-nadu,2021,2,Ramanathapuram ,170759,5788658,Southern Region
tamil-nadu,2021,2,Krishnagiri ,635191,20912278,Southern Region
tamil-nadu,2021,2,Cuddalore ,430763,7572362,Southern Region
tamil-nadu,2021,2,Kancheepuram ,957182,14405043,Southern Region
tamil-nadu,2021,2,Tiruppur ,828168,13987286,Southern Region
tamil-nadu,2021,2,Dharmapuri ,329355,11902186,Southern Region
